# Datum der Auswertung: 01.02.2025
# Zeitraum der Auswertung: 01.01.2025 - 01.02.2025
# Z‰hlpunkte:
# DE00721470567000ZE000003260753VS0 NNA/LGS_Saldo_Bosch Batterie Speicher Wernau Junkersstr. P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE00721470567EM0ZE000003260755VS0 VNA/EGS Saldo_Bosch Batterie Speicher Wernau Junkersstr. ‹berschuﬂ P- Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung P+ Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung P- Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q1 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q2 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q3 Robert Bosch GmbH Batteriespeicher Wernau
# DE0072147324900000000000000901125 Bosch Wernau Batterie-Speicher Abrechnung Q4 Robert Bosch GmbH Batteriespeicher Wernau
Datum/Zeit;NNA/LGS_Saldo_Bosch Batterie Speicher Wernau Junkersstr. P+;VNA/EGS Saldo_Bosch Batterie Speicher Wernau Junkersstr. ‹berschuﬂ P-;Bosch Wernau Batterie-Speicher Abrechnung P+;Bosch Wernau Batterie-Speicher Abrechnung P-;Bosch Wernau Batterie-Speicher Abrechnung Q1;Bosch Wernau Batterie-Speicher Abrechnung Q2;Bosch Wernau Batterie-Speicher Abrechnung Q3;Bosch Wernau Batterie-Speicher Abrechnung Q4
02.01.2025 10:30;59,296;0;60,8;0;1,36;0;0;6,68
02.01.2025 10:45;22,832;0,64;24,28;0,64;0,72;0;0,24;7,88
02.01.2025 11:00;47,803;0;49,44;0;1,36;0;0;6,8
02.01.2025 11:15;0;153,2411;0,12;151,52;0;41,96;0;0
02.01.2025 11:30;37,164;0,56;38,76;0,56;0,52;0,16;0;14,32
02.01.2025 11:45;15,59;1,44;17,12;1,44;0,36;0;0,6;8,56
02.01.2025 12:00;8,205;6,08;9,72;6,08;0,12;0;1,96;7,28
02.01.2025 12:15;9,085;43,4;10,6;43,4;0,28;9,12;0,92;5,28
02.01.2025 12:30;34,296;0,64;35,8;0,64;0,4;0;0,2;10,52
02.01.2025 12:45;29,757;5,6;31,2;5,6;0,36;0;1,52;8,32
02.01.2025 13:00;36,672;0,12;38,12;0,12;0,84;0;0,08;7,64
02.01.2025 13:15;0;71,0696;0,2;69,76;0;9,4;2,8;1,08
02.01.2025 13:30;23,97;1,24;25,48;1,24;0,64;0;0,4;9,64
02.01.2025 13:45;0;161,9198;0,04;160,44;0;40,48;0;0
02.01.2025 14:00;15,802;30,52;17,24;30,52;0,4;2,52;3,28;3,16
02.01.2025 14:15;21,661;15,4;23,12;15,4;1,32;0,6;2,68;4,12
02.01.2025 14:30;3,301;28,28;4,76;28,28;0;4,08;2;4,12
02.01.2025 14:45;6,302;11,96;7,72;11,96;0,36;0,56;2,28;5,68
02.01.2025 15:00;8,632;13,6;10,08;13,6;0,32;0,6;2,12;5,88
02.01.2025 15:15;58,735;10,24;60,28;10,24;1,68;0,44;1,56;4,2
02.01.2025 15:30;14,492;9,88;15,92;9,88;0,44;0,08;2,04;6,08
02.01.2025 15:45;13,557;26,72;15;26,72;0,64;0,72;4,12;3,84
02.01.2025 16:00;2,753;19,96;4,12;19,96;0,08;0,52;3,68;4,12
02.01.2025 16:15;51,552;4,76;52,96;4,76;4,56;0,04;1,52;3,8
02.01.2025 16:30;1,736;21,88;3,2;21,88;0,04;0,52;4,44;3,44
02.01.2025 16:45;14,013;12,48;15,4;12,48;0,32;0,2;2,84;6,56
02.01.2025 17:00;0,886;24,92;2,36;24,92;0,16;0,72;4,24;3,8
02.01.2025 17:15;57,957;0,32;59,4;0,32;0,64;0;0,12;9,04
02.01.2025 17:30;16,294;6,96;17,64;6,96;0,6;0;1,88;7,44
02.01.2025 17:45;19,208;0,72;20,6;0,72;0,48;0;0,24;8,56
02.01.2025 18:00;36,991;0;38,48;0;1;0;0;7,6
02.01.2025 18:15;28,644;1,32;29,96;1,32;0,48;0;0,56;8,92
02.01.2025 18:30;5,092;13,12;6,52;13,12;0,24;0,04;3;5,44
02.01.2025 18:45;31,252;0;32,68;0;0,52;0;0;9,28
02.01.2025 19:00;63,212;0;64,64;0;0,96;0;0;12,6
02.01.2025 19:15;17,772;5,2;19,2;5,2;0,4;0;1,72;7,52
02.01.2025 19:30;18,078;1,44;19,44;1,44;0,24;0;0,48;12,96
02.01.2025 19:45;41,372;12,48;42,8;12,48;0,2;1,08;1,12;11
02.01.2025 20:00;52,826;0,32;54,32;0,32;0,12;0;0,12;13,64
02.01.2025 20:15;13,032;25,28;14,48;25,28;0,28;2,04;2,44;5,84
02.01.2025 20:30;34,067;0,44;35,48;0,44;0,64;0;0,16;9,8
02.01.2025 20:45;0;146,1437;0;144,68;0;33,08;0,04;0
02.01.2025 21:00;18,042;8,2;19,48;8,2;0,68;0,36;1,68;6,16
02.01.2025 21:15;8,707;29,88;10,16;29,88;0,32;4,36;2;4,4
02.01.2025 21:30;52,974;1,96;54,28;1,96;10,16;0;0,72;3,04
02.01.2025 21:45;38,122;5,72;39,56;5,72;3,84;0,92;0,2;3,8
02.01.2025 22:00;25,222;3,92;26,64;3,92;0,36;0;0,88;6,92
02.01.2025 22:15;7,082;34,8;8,52;34,8;0,28;4,88;1,96;4,36
02.01.2025 22:30;49,936;0;51,4;0;5,12;0;0;5,44
02.01.2025 22:45;20,187;5,12;21,64;5,12;0,4;0,48;0,52;7,2
02.01.2025 23:00;24,732;1,92;26,16;1,92;0,32;0;0,68;7,16
